Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.3406967,0.5631804,-2.147254,-0.3542698,0.3194706,-2.284885,-0.1748625,0.2050725,-2.508113,-0.0006270828,-0.009920878,-2.531462
-0.2878427,0.5585428,-2.151839,-0.3394262,0.3126926,-2.273659,-0.1745988,0.205881,-2.511144,-2.395428E-05,-0.009092964,-2.532015
-0.2878427,0.5585428,-2.151839,-0.3394262,0.3126926,-2.273659,-0.1745988,0.205881,-2.511144,-2.395428E-05,-0.009092964,-2.532015
-0.2878427,0.5585428,-2.151839,-0.3394262,0.3126926,-2.273659,-0.1745988,0.205881,-2.511144,-2.395428E-05,-0.009092964,-2.532015
-0.2878427,0.5585428,-2.151839,-0.3394262,0.3126926,-2.273659,-0.1745988,0.205881,-2.511144,-2.395428E-05,-0.009092964,-2.532015
-0.2422861,0.5419138,-2.14862,-0.3203877,0.3028454,-2.264437,-0.1753161,0.2038869,-2.511557,-0.0001278277,-0.01054227,-2.532721
-0.2422861,0.5419138,-2.14862,-0.3203877,0.3028454,-2.264437,-0.1753161,0.2038869,-2.511557,-0.0001278277,-0.01054227,-2.532721
-0.1956098,0.5309596,-2.151651,-0.2998747,0.2949441,-2.253333,-0.175608,0.2041008,-2.515161,-6.671364E-05,-0.01055015,-2.530066
-0.1956098,0.5309596,-2.151651,-0.2998747,0.2949441,-2.253333,-0.175608,0.2041008,-2.515161,-6.671364E-05,-0.01055015,-2.530066
-0.1654797,0.515975,-2.159159,-0.2902657,0.2870205,-2.249959,-0.1762673,0.2055776,-2.513207,-0.001085777,-0.009024574,-2.532546
-0.1654797,0.515975,-2.159159,-0.2902657,0.2870205,-2.249959,-0.1762673,0.2055776,-2.513207,-0.001085777,-0.009024574,-2.532546
-0.147957,0.5018657,-2.160603,-0.28137,0.2769217,-2.254167,-0.175892,0.2120712,-2.517677,-0.0001603952,-0.00232826,-2.534186
-0.147957,0.5018657,-2.160603,-0.28137,0.2769217,-2.254167,-0.175892,0.2120712,-2.517677,-0.0001603952,-0.00232826,-2.534186
-0.147957,0.5018657,-2.160603,-0.28137,0.2769217,-2.254167,-0.175892,0.2120712,-2.517677,-0.0001603952,-0.00232826,-2.534186
-0.147957,0.5018657,-2.160603,-0.28137,0.2769217,-2.254167,-0.175892,0.2120712,-2.517677,-0.0001603952,-0.00232826,-2.534186
-0.1331744,0.482774,-2.159066,-0.2808893,0.2675461,-2.2556,-0.1770296,0.2075796,-2.521628,-0.0005138585,-0.006524551,-2.53255
